Date,Bid Strategy Status,Bid strategy,Bid strategy type,System Status,Account,Campaigns,Currency code,Target CPA,Avg. Target CPA,Actual CPA,Cost / conv.,Cost (Converted currency) / conv.,Cost,Cost (Converted currency),Conversions,Conv. rate,Converted currency code
"February 22, 2026 - February 28, 2026",Enabled,NTB - Midwest - Maximize Conversion - Non-Brand - Services,Maximize Conversions,Active,NTB,3,USD,8.2,8.2,8.24,8.24,8.24,2084.91,2084.91,253.02,0.3549,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Massachusetts - Maximize Conversions - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,5.12,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Central - Maximize Conversions - Trademark - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,Midwest - BR,Maximize Conversions,Inactive,Brakes Plus,0,USD,7,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,AGT - Florida - Maximize Conversions (tCPA) - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,5,USD,9.6,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Midwest- PP 1124-  Maximize Conversion - Non Brand - Services,Maximize Conversions,Inactive,Brakes Plus,1,USD,11,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia - Savannah - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,19,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - South Carolinas 2 - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,1,USD,4.1,4.81,5.61,5.61,5.61,12459.91,12459.91,2222.73,0.3581,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Alabama - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Mavis Tire Express Services MCC,4,USD,3,3.25,3.33,3.33,3.33,6305.92,6305.92,1893.92,0.3922,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Midwest - Maximize Conversion - Non Brand - Wheel Alignment,Maximize Conversions,Active,Brakes Plus,1,USD,9,10.12,11.83,11.83,11.83,1194.51,1194.51,100.99,0.2782,USD
"February 22, 2026 - February 28, 2026",Enabled,ADT - New York - Maximize Conversions - Brand,Maximize Conversions,Active,Mavis Tire Express Services MCC,3,USD,7.5,7.5,7.77,7.77,7.77,1166.28,1166.28,150.15,0.4047,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Long Island - Maximize Conversions - Trademark - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Illinois 2 - Maximize Conversions - Non-brand - Tires,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,5,USD,4,4.5,5.21,5.21,5.21,6264.05,6264.05,1201.28,0.3624,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Florida 2 - Maximize Conversions - Non-Brand - Tires- T2,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD,7.19,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia 2 - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Active,Mavis Discount Tire,5,USD,5.5,6.32,7.27,7.27,7.27,31152.71,31152.71,4287.04,0.3896,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - SOUTH CAROLINA - Maximize Conversions - Non-Brand - New Stores,Maximize Conversions,Inactive,Mavis Tire Express Services MCC,3,USD,6.28,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Massachusetts 2 - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,2,USD,2.5,3.1,3.47,3.47,3.47,2816.72,2816.72,811.39,0.4623,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - South Carolina - Maximize Conversions - Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Pennsylvania - Maximize Conversions - Non-Brand - Oil Change,Target CPA,Limited (budget constrained),Mavis Discount Tire,1,USD,3.4,4,4.82,4.82,4.82,1442.22,1442.22,299.25,0.3636,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_MAVIS - South Carolina - Maximize Conversions (tCPA) - Non-Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Pennsylvania 2 - Maximize Conversions - Non-Brand - Auto Service,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,1,USD,3.25,3.5,4.45,4.45,4.45,328.41,328.41,73.8,0.3448,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - NYC Boroughs 2 - Maximize Conversions - Non-Brand - Auto Service,Maximize Conversions,Active,Mavis Discount Tire,1,USD,2.5,2.5,2.86,2.86,2.86,18.1,18.1,6.33,0.2754,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - PP 0824 - Maximize Conversions - Non-Brand - Oil Change,Target CPA,Inactive,Express Oil Change & Tire Engineers,1,USD,10,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia 2 - Maximize Conversions - Competitors,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,4,4.62,5.41,5.41,5.41,3889.02,3889.02,718.49,0.3774,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Northeast - Maximize Conversion - Non-Brand - Services,Maximize Conversions,Active,NTB,3,USD,5.6,6.14,7.09,7.09,7.09,2110.81,2110.81,297.84,0.3083,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Illinois - Maximize Conversions - Trademark - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Virginias - Maximize Conversion - Competitors,Maximize Conversions,Active,NTB,4,USD,3.3,3.8,3.7,3.7,3.7,679.51,679.51,183.86,0.3855,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Southwest - PP 0824 - Maximize Conversion - Brand,Maximize Conversions,Inactive,Brakes Plus,4,USD,8.75,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Florida 2 - Maximize Conversions - Competitors,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,8,USD,2.76,2.86,3.11,3.11,3.11,628.33,628.33,201.87,0.4206,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_GAT - Texas - Maximize Conversions (tCPA) - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,5,USD,5,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Alabama - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Alabama - Maximize Conversions - Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Gulf States - Maximize Conversions - Non-Brand - Auto Service,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,1,USD,6.5,7.74,11.2,11.2,11.2,207.24,207.24,18.5,0.2229,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Louisiana - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Florida - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,20,0,0,0,0,0,0,0,0,USD
