AE - 02 Ad Group Performance
"January 1, 2025 - July 13, 2026"
Ad group,Campaign,Campaign state,Ad group state,Campaign type,Campaign subtype,Labels on Ad group,Ad group bid strategy,Ad group bid strategy type,Ad group sitelinks: active,Ad group sitelinks: disapproved,Ad group sitelinks level,Ad group phone numbers: active,Ad group phone numbers: disapproved,Ad group phone numbers level,Ad group apps: active,Ad group apps: disapproved,Ad group apps level,Ad group desktop bid adj.,Ad group mobile bid adj.,Ad group tablet bid adj.,Ads: active,Ads: disapproved,Keywords: active,Keywords: disapproved,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Religious Goods Store,[Paused_Copy_of(14-May-2019)]_Religious Goods_religious_goods_store,Paused,Enabled,Search,All features, --,enhanced custom click (jc),Enhanced CPC,0,0, --,0,0, --,0,0, --, +10%, +15%, --,4,0,69,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Ad group 3,Chiarelli's St. Killian's Candles,Paused,Paused,Search,All features, --, --,Target Impression Share,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Rentals - Local Search,Chiarelli's Rentals - Search Campaign Local,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,1,0,61,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Liquid Candle Fuel & Refills,Search | Non-Brand | Tier A - NYC Metro Core,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,14,0,0,11,0.00%,USD,0,0.00,50.00%,62.50%,0.00,0,0,0
Advent Candles,Search | Non-Brand | Tier A - NYC Metro Core,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Advent Wreaths,Search | Non-Brand | Tier A - NYC Metro Core,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,10,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Nativity Sets,Search | Non-Brand | Tier A - NYC Metro Core,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,10,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Paschal Candles,Search | Non-Brand | Tier A - NYC Metro Core,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,7,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Votive Candle Stands,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,15,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Liquid Candle Fuel & Refills,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,14,0,0,9,0.00%,USD,0,0.00,33.33%,66.67%,0.00,0,0,0
Advent Candles,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Advent Wreaths,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,10,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Nativity Sets,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,10,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Paschal Candles,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,7,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Votive Candles,Search | Non-Brand | Tier C - Southern Expansion,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,13,0,0,16,0.00%,USD,0,0.00,7.14%,64.29%,0.00,0,0,0
Conquest - Competitors,Search | Conquest - Competitors,Enabled,Enabled,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, --, --, --,2,0,11,0,0,41,0.00%,USD,0,0.00,4.00%,72.00%,0.00,0,0,0
